q1,A
q2,D
q3,C
q4,B
q5,A
q6,A
q7,D
q8,C
q9,D
q10,C
q11,C
q12,D
q13,B
q14,A
q15,D
q16,A
q17,B
q18,C
q19,C
q20,D
q21,B
q22,C
q23,A
q24,B
q25,C
q26,A
q27,A
q28,A
q29,A
q30,A
q31,A
q32,A
q33,A
q34,A
q35,A
q36,A
q37,A
q38,A
q39,A
q40,A
q41,A
q42,A
q43,A
q44,A
q45,A
q46,A
q47,A
q48,A
q49,A
q50,A
q51,A
q52,A
q53,A
q54,A
q55,A
q56,A
q57,A
q58,A
q59,A
q60,A
q61,A
q62,A
q63,A
q64,A
q65,A
q66,A
q67,A
q68,A
q69,A
q70,A
q71,A
q72,A
q73,A
q74,A
q75,A
q76,A
q77,A
q78,A
q79,A
q80,A
q81,A
q82,A
q83,A
q84,A
q85,A
q86,A
q87,A
q88,A
q89,A
q90,A
q91,A
q92,A
q93,A
q94,A
q95,A
q96,A
q97,A
q98,A
q99,A
q100,A
q101,A
q102,A
q103,A
q104,A
q105,A
q106,A
q107,A
q108,A
q109,A
q110,A
q111,A
q112,A
q113,A
q114,A
q115,A
q116,A
q117,A
q118,A
q119,A
q120,A
